,file_name,flight,image,date,mean_red,sd_red,mean_green,sd_green,mean_blue,sd_blue
0,2019_Feb_06_Phantom_Flight_5_271_HSV_V_fixed,5,271,2019:02:06 11:12:01,18.91,22.72,30.74,25.64,12.8,17.94
0,2019_Feb_06_Phantom_Flight_2_89_HSV_V_fixed,2,89,2019:02:06 09:40:39,18.93,24.44,31.93,26.22,9.73,16.19
0,2019_Feb_06_Phantom_Flight_4_289_HSV_V_fixed,4,289,2019:02:06 10:55:06,18.93,22.83,31.26,25.98,12.61,17.46
0,2019_Feb_06_Phantom_Flight_4_169_HSV_V_fixed,4,169,2019:02:06 10:51:06,19.06,22.88,31.57,26.44,12.61,17.39
0,2019_Feb_06_Phantom_Flight_5_191_HSV_V_fixed,5,191,2019:02:06 11:09:21,18.64,22.65,31.19,26.06,12.36,17.66
0,2019_Feb_06_Phantom_Flight_2_252_HSV_V_fixed,2,252,2019:02:06 09:46:09,18.61,23.3,30.34,25.3,10.88,17.23
0,2019_Feb_06_Phantom_Flight_2_386_HSV_V_fixed,2,386,2019:02:06 09:50:39,23.33,23.49,31.65,27.04,14.92,17.38
0,2019_Feb_06_Phantom_Flight_1_496_HSV_V_fixed,1,496,2019:02:06 10:15:20,21.68,23.84,30.88,26.24,11.31,16.5
0,2019_Feb_06_Phantom_Flight_5_94_HSV_V_fixed,5,94,2019:02:06 11:06:07,19.1,23.23,31.4,26.06,12.41,17.96
0,2019_Feb_06_Phantom_Flight_1_180_HSV_V_fixed,1,180,2019:02:06 10:04:42,21.72,22.4,31.11,26.48,10.96,14.72
0,2019_Feb_06_Phantom_Flight_1_260_HSV_V_fixed,1,260,2019:02:06 10:07:26,19.94,23.28,30.82,26.14,10.03,15.76
0,2019_Feb_06_Phantom_Flight_1_312_HSV_V_fixed,1,312,2019:02:06 10:09:10,17.75,22.89,31.91,26.39,8.77,15.25
